,annotators,total1,total2,match2,agreed_overlap,disagreed_overlap,only_anno1,only_anno2,pmcid
456,"A,B",80,74,70,0,0,7,1,PMC4627615
457,"A,C",80,78,75,0,0,2,0,PMC4627615
458,"B,C",74,78,69,0,0,2,6,PMC4627615
459,"A,B",423,423,418,3,0,0,0,PMC5770383
460,"A,C",423,423,418,3,0,0,0,PMC5770383
461,"B,C",423,423,421,0,0,0,0,PMC5770383
462,"A,B",454,450,437,9,9,2,1,PMC4697806
463,"A,C",454,446,429,17,7,1,0,PMC4697806
464,"B,C",450,446,430,14,4,2,2,PMC4697806
465,"A,B",230,230,228,2,0,0,0,PMC3020944
466,"A,C",230,230,228,2,0,0,0,PMC3020944
467,"B,C",230,230,230,0,0,0,0,PMC3020944
468,"A,B",371,371,371,0,0,0,0,PMC5685608
469,"A,C",371,371,371,0,0,0,0,PMC5685608
470,"B,C",371,371,371,0,0,0,0,PMC5685608
471,"A,B",564,554,548,2,2,14,2,PMC5744400
472,"A,C",564,568,560,4,2,0,2,PMC5744400
473,"B,C",554,568,552,2,0,0,14,PMC5744400
474,"A,B",136,136,136,0,0,0,0,PMC4951087
475,"A,C",136,136,136,0,0,0,0,PMC4951087
476,"B,C",136,136,136,0,0,0,0,PMC4951087
477,"A,B",47,47,47,0,0,0,0,PMC4441378
478,"A,C",47,47,47,0,0,0,0,PMC4441378
479,"B,C",47,47,47,0,0,0,0,PMC4441378
480,"A,B",51,51,51,0,0,0,0,PMC3792120
481,"A,C",51,51,51,0,0,0,0,PMC3792120
482,"B,C",51,51,51,0,0,0,0,PMC3792120
483,"A,B",136,137,135,1,0,0,1,PMC4340678
484,"A,C",136,137,135,1,0,0,1,PMC4340678
485,"B,C",137,137,137,0,0,0,0,PMC4340678
486,"A,B",94,93,93,0,0,1,0,PMC4552872
487,"A,C",94,93,93,0,0,1,0,PMC4552872
488,"B,C",93,93,93,0,0,0,0,PMC4552872
